   0.780000D-02    0.260163D+01   -0.803883D+00
   0.780000D-02    0.258936D+01   -0.814125D+00
   0.780000D-02    0.257709D+01   -0.823876D+00
   0.780000D-02    0.256482D+01   -0.833130D+00
   0.780000D-02    0.255254D+01   -0.841882D+00
   0.780000D-02    0.254027D+01   -0.850126D+00
   0.780000D-02    0.252800D+01   -0.857857D+00
   0.780000D-02    0.251573D+01   -0.865072D+00
   0.780000D-02    0.250346D+01   -0.871766D+00
   0.780000D-02    0.249118D+01   -0.877934D+00
   0.780000D-02    0.247891D+01   -0.883574D+00
   0.780000D-02    0.246664D+01   -0.888682D+00
   0.780000D-02    0.245437D+01   -0.893255D+00
   0.780000D-02    0.244210D+01   -0.897291D+00
   0.780000D-02    0.242983D+01   -0.900787D+00
   0.780000D-02    0.241755D+01   -0.903741D+00
   0.780000D-02    0.240528D+01   -0.906152D+00
   0.780000D-02    0.239301D+01   -0.908018D+00
   0.780000D-02    0.238074D+01   -0.909338D+00
   0.780000D-02    0.236847D+01   -0.910112D+00
   0.780000D-02    0.235619D+01   -0.910339D+00
   0.780000D-02    0.234392D+01   -0.910018D+00
   0.780000D-02    0.233165D+01   -0.909152D+00
   0.780000D-02    0.231938D+01   -0.907738D+00
   0.780000D-02    0.230711D+01   -0.905780D+00
   0.780000D-02    0.229484D+01   -0.903278D+00
   0.780000D-02    0.228256D+01   -0.900233D+00
   0.780000D-02    0.227029D+01   -0.896648D+00
   0.780000D-02    0.225802D+01   -0.892524D+00
   0.780000D-02    0.224575D+01   -0.887865D+00
   0.780000D-02    0.223348D+01   -0.882672D+00
   0.780000D-02    0.222120D+01   -0.876950D+00
   0.780000D-02    0.220893D+01   -0.870701D+00
   0.780000D-02    0.219666D+01   -0.863929D+00
   0.780000D-02    0.218439D+01   -0.856639D+00
   0.780000D-02    0.217212D+01   -0.848835D+00
   0.780000D-02    0.215984D+01   -0.840521D+00
   0.780000D-02    0.214757D+01   -0.831702D+00
   0.780000D-02    0.213530D+01   -0.822385D+00
   0.780000D-02    0.212303D+01   -0.812573D+00
   0.780000D-02    0.211076D+01   -0.802274D+00
   0.780000D-02    0.103084D+01    0.802274D+00
   0.780000D-02    0.101856D+01    0.812573D+00
   0.780000D-02    0.100629D+01    0.822385D+00
   0.780000D-02    0.994020D+00    0.831702D+00
   0.780000D-02    0.981748D+00    0.840521D+00
   0.780000D-02    0.969476D+00    0.848835D+00
   0.780000D-02    0.957204D+00    0.856639D+00
   0.780000D-02    0.944932D+00    0.863929D+00
   0.780000D-02    0.932660D+00    0.870701D+00
   0.780000D-02    0.920388D+00    0.876950D+00
